charging_userid,ev_model,station_id,power_consumption,charging_duration,charging_start_time,charging_end_time,charging_start_percentage,charging_end_percentage,charging_rate
U01988,Model_19,S031,21.79,1.1,2024-02-08 00:50:12,2024-02-08 01:56:12,49,82,19.81
U03318,Model_14,S016,9.31,2.9,2024-07-24 00:50:12,2024-07-24 03:44:12,44,49,3.21
U04044,Model_12,S022,17.22,2.54,2024-04-06 00:50:12,2024-04-06 03:22:36,78,95,6.78
U01178,Model_12,S038,13.0,1.58,2024-09-08 00:50:12,2024-09-08 02:25:00,38,72,8.23
U02389,Model_20,S013,13.39,0.95,2024-06-22 00:50:12,2024-06-22 01:47:12,25,98,14.09
U01803,Model_1,S045,50.11,2.79,2024-12-16 00:50:12,2024-12-16 03:37:36,48,81,17.96
U00004,Model_15,S027,31.98,1.77,2024-11-23 00:50:12,2024-11-23 02:36:24,60,90,18.07
U03396,Model_11,S039,7.32,0.65,2024-11-03 00:50:12,2024-11-03 01:29:12,39,80,11.26
U01520,Model_11,S065,51.46,2.48,2024-01-11 00:50:12,2024-01-11 03:19:00,73,99,20.75
U03664,Model_4,S025,50.03,2.37,2024-06-11 00:50:12,2024-06-11 03:12:24,62,74,21.11
U00403,Model_15,S012,49.95,3.0,2024-08-18 00:50:12,2024-08-18 03:50:12,8,65,16.65
U04970,Model_15,S041,11.65,0.61,2024-12-03 00:50:12,2024-12-03 01:26:48,48,57,19.1
U00342,Model_14,S036,27.03,2.34,2024-05-22 00:50:12,2024-05-22 03:10:36,32,62,11.55
U02203,Model_4,S039,2.6,0.84,2024-03-29 00:50:12,2024-03-29 01:40:36,54,58,3.09
U03827,Model_3,S048,23.49,1.5,2024-05-28 00:50:12,2024-05-28 02:20:12,79,95,15.66
U04754,Model_20,S039,21.82,1.84,2024-06-07 00:50:12,2024-06-07 02:40:36,59,99,11.86
U02486,Model_20,S053,2.34,0.62,2024-09-27 00:50:12,2024-09-27 01:27:24,53,72,3.77
U00426,Model_13,S009,16.01,0.73,2024-10-21 00:50:12,2024-10-21 01:34:00,3,84,21.93
U03162,Model_4,S010,8.21,0.68,2024-03-12 00:50:12,2024-03-12 01:31:00,22,57,12.07
U04701,Model_9,S027,15.4,2.16,2024-09-23 00:50:12,2024-09-23 02:59:48,22,30,7.13
U02846,Model_1,S067,29.56,2.32,2023-12-26 00:50:12,2023-12-26 03:09:24,0,65,12.74
U03269,Model_17,S038,13.86,2.0,2024-02-25 00:50:12,2024-02-25 02:50:12,63,72,6.93
U02967,Model_8,S060,24.64,1.2,2024-09-14 00:50:12,2024-09-14 02:02:12,18,24,20.53
U00726,Model_6,S066,7.42,1.85,2024-03-06 00:50:12,2024-03-06 02:41:12,5,52,4.01
U01129,Model_8,S009,11.31,0.9,2024-04-16 00:50:12,2024-04-16 01:44:12,76,79,12.57
U04265,Model_20,S012,37.51,2.1,2024-11-22 00:50:12,2024-11-22 02:56:12,39,53,17.86
U02988,Model_7,S024,8.89,0.83,2024-07-31 00:50:12,2024-07-31 01:40:00,69,73,10.71
U04114,Model_10,S009,4.45,0.51,2024-06-13 00:50:12,2024-06-13 01:20:48,57,69,8.72
U04730,Model_1,S069,23.15,2.13,2024-09-23 00:50:12,2024-09-23 02:58:00,65,74,10.87
U02252,Model_6,S015,24.36,1.77,2024-10-10 00:50:12,2024-10-10 02:36:24,11,38,13.76
U02535,Model_19,S063,27.54,2.31,2024-07-31 00:50:12,2024-07-31 03:08:48,54,79,11.92
U01893,Model_5,S038,13.42,0.92,2024-01-12 00:50:12,2024-01-12 01:45:24,51,66,14.59
U03077,Model_18,S036,30.55,1.47,2024-01-26 00:50:12,2024-01-26 02:18:24,30,98,20.78
U03964,Model_6,S018,10.05,0.51,2024-11-11 00:50:12,2024-11-11 01:20:48,80,97,19.71
U01092,Model_19,S064,6.23,0.64,2024-10-09 00:50:12,2024-10-09 01:28:36,20,67,9.74
U02520,Model_8,S069,4.24,1.38,2024-04-28 00:50:12,2024-04-28 02:13:00,6,16,3.07
U03363,Model_5,S032,11.64,1.23,2024-11-25 00:50:12,2024-11-25 02:04:00,73,93,9.46
U04314,Model_1,S033,18.53,1.21,2024-10-10 00:50:12,2024-10-10 02:02:48,29,71,15.31
U02865,Model_2,S005,1.88,0.62,2024-02-11 00:50:12,2024-02-11 01:27:24,61,62,3.04
U02645,Model_13,S009,11.77,1.08,2024-11-06 00:50:12,2024-11-06 01:55:00,65,92,10.9
U01581,Model_2,S010,49.75,2.35,2024-09-25 00:50:12,2024-09-25 03:11:12,76,84,21.17
U04038,Model_8,S026,30.13,2.35,2024-06-22 00:50:12,2024-06-22 03:11:12,68,70,12.82
U01847,Model_12,S001,8.65,0.98,2024-07-03 00:50:12,2024-07-03 01:49:00,7,43,8.83
U02534,Model_16,S044,32.38,2.16,2024-03-06 00:50:12,2024-03-06 02:59:48,36,93,14.99
U03033,Model_9,S067,5.88,0.64,2024-11-12 00:50:12,2024-11-12 01:28:36,15,20,9.18
U02033,Model_2,S049,57.39,2.77,2024-03-02 00:50:12,2024-03-02 03:36:24,12,100,20.72
U01998,Model_6,S046,11.26,1.25,2024-04-11 00:50:12,2024-04-11 02:05:12,19,60,9.01
U04169,Model_3,S035,17.79,1.54,2024-08-20 00:50:12,2024-08-20 02:22:36,0,12,11.55
U00376,Model_16,S058,13.61,0.91,2024-09-14 00:50:12,2024-09-14 01:44:48,23,48,14.96
U04047,Model_6,S060,15.34,0.8,2024-06-25 00:50:12,2024-06-25 01:38:12,50,61,19.17
U03319,Model_8,S059,34.12,1.93,2023-12-25 00:50:12,2023-12-25 02:46:00,55,61,17.68
U00682,Model_20,S034,5.92,0.65,2024-03-22 00:50:12,2024-03-22 01:29:12,36,53,9.1
U03649,Model_5,S042,39.64,1.99,2024-06-11 00:50:12,2024-06-11 02:49:36,23,100,19.92
U01054,Model_7,S044,29.75,2.5,2024-12-10 00:50:12,2024-12-10 03:20:12,58,70,11.9
U03504,Model_11,S029,10.76,0.83,2024-06-17 00:50:12,2024-06-17 01:40:00,36,73,12.96
U00651,Model_3,S007,43.25,2.65,2024-01-03 00:50:12,2024-01-03 03:29:12,59,90,16.32
U04936,Model_14,S068,20.33,1.73,2024-12-11 00:50:12,2024-12-11 02:34:00,69,88,11.75
U01871,Model_15,S054,24.82,1.17,2024-03-25 00:50:12,2024-03-25 02:00:24,17,77,21.21
U04696,Model_2,S015,23.49,2.78,2023-12-31 00:50:12,2023-12-31 03:37:00,1,19,8.45
U04759,Model_3,S041,37.31,1.75,2024-07-22 00:50:12,2024-07-22 02:35:12,45,49,21.32
U03622,Model_20,S038,13.74,1.04,2024-04-11 00:50:12,2024-04-11 01:52:36,40,62,13.21
U00056,Model_5,S009,5.92,0.96,2024-10-08 00:50:12,2024-10-08 01:47:48,71,96,6.17
U03851,Model_10,S020,5.22,0.63,2024-11-28 00:50:12,2024-11-28 01:28:00,7,61,8.28
U03605,Model_14,S059,54.74,2.77,2024-05-01 00:50:12,2024-05-01 03:36:24,77,85,19.76
U04197,Model_6,S003,53.59,2.54,2024-11-24 00:50:12,2024-11-24 03:22:36,7,25,21.1
U01771,Model_17,S032,34.7,1.6,2024-09-13 00:50:12,2024-09-13 02:26:12,0,65,21.69
U03331,Model_2,S026,16.95,2.17,2024-10-14 00:50:12,2024-10-14 03:00:24,7,11,7.81
U04167,Model_12,S061,24.82,1.15,2024-08-09 00:50:12,2024-08-09 01:59:12,9,18,21.58
U03535,Model_2,S060,41.92,2.43,2024-01-23 00:50:12,2024-01-23 03:16:00,33,76,17.25
U03719,Model_12,S008,9.0,2.77,2024-11-29 00:50:12,2024-11-29 03:36:24,8,30,3.25
U02152,Model_8,S002,5.18,0.93,2024-07-14 00:50:12,2024-07-14 01:46:00,55,88,5.57
U03506,Model_7,S024,7.98,0.93,2024-08-26 00:50:12,2024-08-26 01:46:00,51,70,8.58
U01408,Model_14,S044,13.88,2.6,2024-03-11 00:50:12,2024-03-11 03:26:12,3,26,5.34
U03213,Model_16,S009,21.16,2.78,2024-01-20 00:50:12,2024-01-20 03:37:00,32,52,7.61
U00555,Model_14,S007,49.7,2.5,2024-02-05 00:50:12,2024-02-05 03:20:12,50,95,19.88
U02575,Model_7,S070,51.72,2.64,2024-03-20 00:50:12,2024-03-20 03:28:36,42,61,19.59
U01689,Model_13,S067,21.89,1.96,2024-02-29 00:50:12,2024-02-29 02:47:48,11,39,11.17
U00547,Model_13,S059,23.3,1.24,2024-02-20 00:50:12,2024-02-20 02:04:36,30,37,18.79
U03698,Model_10,S056,35.1,2.56,2024-04-25 00:50:12,2024-04-25 03:23:48,14,79,13.71
U02549,Model_12,S051,14.66,1.87,2024-10-30 00:50:12,2024-10-30 02:42:24,63,76,7.84
U03770,Model_18,S039,23.36,2.52,2024-06-23 00:50:12,2024-06-23 03:21:24,76,84,9.27
U04602,Model_1,S019,39.7,1.98,2024-06-19 00:50:12,2024-06-19 02:49:00,16,91,20.05
U00644,Model_15,S013,6.58,0.63,2024-11-30 00:50:12,2024-11-30 01:28:00,17,82,10.45
U03606,Model_5,S021,16.82,1.39,2024-09-21 00:50:12,2024-09-21 02:13:36,49,73,12.1
U03955,Model_1,S026,7.85,1.15,2024-02-14 00:50:12,2024-02-14 01:59:12,57,82,6.83
U02234,Model_15,S070,18.37,0.85,2024-03-16 00:50:12,2024-03-16 01:41:12,65,92,21.61
U00183,Model_20,S052,19.38,1.64,2024-04-24 00:50:12,2024-04-24 02:28:36,51,83,11.82
U04977,Model_9,S053,33.07,2.55,2024-06-25 00:50:12,2024-06-25 03:23:12,53,58,12.97
U01650,Model_14,S009,35.28,1.8,2024-10-15 00:50:12,2024-10-15 02:38:12,78,93,19.6
U02095,Model_7,S001,35.43,2.85,2024-09-26 00:50:12,2024-09-26 03:41:12,43,89,12.43
U01699,Model_7,S032,20.29,0.98,2024-10-21 00:50:12,2024-10-21 01:49:00,15,74,20.7
U04716,Model_8,S043,4.71,0.99,2024-02-06 00:50:12,2024-02-06 01:49:36,69,70,4.76
U00083,Model_8,S018,28.13,1.4,2024-07-06 00:50:12,2024-07-06 02:14:12,72,98,20.09
U03890,Model_7,S010,26.95,1.91,2023-12-24 00:50:12,2023-12-24 02:44:48,25,81,14.11
U02468,Model_17,S015,6.87,1.55,2024-06-24 00:50:12,2024-06-24 02:23:12,46,60,4.43
U02320,Model_3,S029,18.75,2.92,2024-03-24 00:50:12,2024-03-24 03:45:24,21,34,6.42
U04728,Model_15,S011,8.53,1.0,2024-01-02 00:50:12,2024-01-02 01:50:12,55,87,8.53
U00704,Model_15,S068,39.64,1.81,2024-08-13 00:50:12,2024-08-13 02:38:48,53,85,21.9
U04545,Model_11,S025,6.5,1.34,2024-01-04 00:50:12,2024-01-04 02:10:36,63,64,4.85
U04508,Model_10,S031,14.78,0.79,2024-03-02 00:50:12,2024-03-02 01:37:36,18,56,18.71
U01669,Model_6,S039,12.4,1.1,2024-12-15 00:50:12,2024-12-15 01:56:12,42,68,11.27
U04166,Model_11,S044,22.05,1.22,2024-11-12 00:50:12,2024-11-12 02:03:24,8,92,18.07
U02905,Model_10,S047,33.37,2.27,2024-01-21 00:50:12,2024-01-21 03:06:24,78,97,14.7
U00355,Model_2,S013,18.41,0.96,2024-08-12 00:50:12,2024-08-12 01:47:48,76,100,19.18
U04612,Model_1,S028,23.09,1.9,2024-03-24 00:50:12,2024-03-24 02:44:12,17,57,12.15
U04462,Model_7,S025,13.53,0.65,2024-12-01 00:50:12,2024-12-01 01:29:12,34,52,20.81
U03915,Model_8,S070,28.68,1.34,2024-06-26 00:50:12,2024-06-26 02:10:36,16,93,21.4
U03841,Model_17,S023,36.66,2.74,2024-04-22 00:50:12,2024-04-22 03:34:36,3,47,13.38
U04609,Model_13,S001,27.67,2.95,2024-10-10 00:50:12,2024-10-10 03:47:12,13,79,9.38
U00724,Model_20,S059,44.75,2.55,2024-04-03 00:50:12,2024-04-03 03:23:12,67,70,17.55
U03909,Model_9,S064,16.14,2.55,2024-10-15 00:50:12,2024-10-15 03:23:12,12,90,6.33
U00207,Model_2,S032,9.54,1.8,2024-06-09 00:50:12,2024-06-09 02:38:12,79,87,5.3
U04907,Model_1,S050,14.18,0.99,2024-03-05 00:50:12,2024-03-05 01:49:36,23,28,14.32
U00921,Model_2,S054,9.61,0.52,2024-10-03 00:50:12,2024-10-03 01:21:24,37,61,18.49
U00823,Model_5,S012,8.07,0.58,2024-11-28 00:50:12,2024-11-28 01:25:00,42,67,13.92
U03366,Model_20,S064,18.64,1.9,2023-12-31 00:50:12,2023-12-31 02:44:12,8,36,9.81
U00764,Model_8,S005,21.03,1.1,2024-03-09 00:50:12,2024-03-09 01:56:12,39,69,19.12
U04255,Model_5,S024,30.64,1.84,2024-12-14 00:50:12,2024-12-14 02:40:36,29,98,16.65
U02190,Model_9,S056,4.31,0.88,2024-05-11 00:50:12,2024-05-11 01:43:00,55,65,4.9
U04838,Model_16,S003,20.51,2.86,2024-12-12 00:50:12,2024-12-12 03:41:48,7,54,7.17
U01125,Model_8,S035,30.29,1.39,2024-07-16 00:50:12,2024-07-16 02:13:36,31,70,21.79
U03185,Model_11,S043,5.84,1.82,2024-07-25 00:50:12,2024-07-25 02:39:24,23,86,3.21
U02640,Model_10,S046,18.93,1.39,2023-12-31 00:50:12,2023-12-31 02:13:36,3,73,13.62
U02787,Model_17,S021,35.81,1.77,2024-01-10 00:50:12,2024-01-10 02:36:24,27,42,20.23
U01956,Model_7,S018,46.61,2.82,2024-06-28 00:50:12,2024-06-28 03:39:24,57,73,16.53
U00172,Model_17,S062,9.41,0.91,2024-03-21 00:50:12,2024-03-21 01:44:48,46,55,10.34
U02806,Model_16,S017,3.84,1.27,2024-06-19 00:50:12,2024-06-19 02:06:24,54,71,3.02
U01283,Model_11,S019,1.99,0.57,2024-11-01 00:50:12,2024-11-01 01:24:24,36,41,3.5
U00087,Model_4,S002,6.97,1.61,2024-08-06 00:50:12,2024-08-06 02:26:48,28,35,4.33
U04509,Model_19,S052,42.47,2.24,2024-03-06 00:50:12,2024-03-06 03:04:36,8,36,18.96
U01668,Model_16,S065,21.49,2.94,2024-03-07 00:50:12,2024-03-07 03:46:36,7,72,7.31
U04562,Model_3,S012,6.62,1.94,2024-04-08 00:50:12,2024-04-08 02:46:36,58,86,3.41
U01498,Model_18,S021,7.1,1.78,2024-02-15 00:50:12,2024-02-15 02:37:00,45,62,3.99
U01963,Model_1,S023,18.29,2.75,2024-02-08 00:50:12,2024-02-08 03:35:12,58,79,6.65
U00606,Model_7,S039,7.72,0.96,2024-11-02 00:50:12,2024-11-02 01:47:48,45,85,8.04
U02655,Model_7,S053,60.98,2.81,2024-05-20 00:50:12,2024-05-20 03:38:48,54,85,21.7
U00345,Model_15,S048,5.27,1.24,2024-05-14 00:50:12,2024-05-14 02:04:36,9,91,4.25
U00021,Model_9,S010,18.24,1.62,2024-03-30 00:50:12,2024-03-30 02:27:24,41,64,11.26
U02909,Model_8,S026,24.13,1.56,2024-08-30 00:50:12,2024-08-30 02:23:48,11,58,15.47
U02030,Model_17,S070,30.84,1.48,2024-01-27 00:50:12,2024-01-27 02:19:00,22,77,20.84
U03620,Model_13,S016,61.07,2.8,2024-11-09 00:50:12,2024-11-09 03:38:12,3,9,21.81
U03516,Model_16,S060,15.12,1.74,2024-02-03 00:50:12,2024-02-03 02:34:36,42,62,8.69
U02194,Model_11,S025,13.57,2.49,2024-06-14 00:50:12,2024-06-14 03:19:36,19,52,5.45
U00098,Model_11,S013,39.56,2.85,2024-07-31 00:50:12,2024-07-31 03:41:12,56,98,13.88
U02688,Model_18,S007,6.81,0.61,2024-01-11 00:50:12,2024-01-11 01:26:48,11,28,11.16
U03542,Model_3,S068,15.03,0.81,2024-09-16 00:50:12,2024-09-16 01:38:48,15,95,18.55
U01227,Model_2,S058,27.76,1.79,2024-06-13 00:50:12,2024-06-13 02:37:36,58,99,15.51
U02728,Model_15,S045,13.65,1.12,2024-05-13 00:50:12,2024-05-13 01:57:24,2,46,12.19
U03216,Model_18,S050,42.29,2.46,2024-01-09 00:50:12,2024-01-09 03:17:48,53,57,17.19
U03244,Model_5,S043,10.35,0.75,2024-08-09 00:50:12,2024-08-09 01:35:12,8,49,13.8
U04102,Model_11,S051,22.45,1.33,2024-07-08 00:50:12,2024-07-08 02:10:00,55,87,16.88
U02251,Model_1,S066,24.5,1.63,2024-08-23 00:50:12,2024-08-23 02:28:00,76,88,15.03
U02783,Model_18,S007,13.95,1.11,2024-02-08 00:50:12,2024-02-08 01:56:48,62,81,12.57
U03104,Model_16,S070,8.81,0.97,2024-09-12 00:50:12,2024-09-12 01:48:24,40,86,9.08
U02675,Model_17,S042,20.88,1.74,2024-09-21 00:50:12,2024-09-21 02:34:36,54,91,12.0
U01766,Model_10,S043,38.25,2.6,2024-06-10 00:50:12,2024-06-10 03:26:12,35,66,14.71
U01145,Model_17,S011,13.58,0.8,2024-02-28 00:50:12,2024-02-28 01:38:12,18,97,16.97
U02252,Model_10,S070,28.76,2.51,2024-02-25 00:50:12,2024-02-25 03:20:48,13,44,11.46
U03005,Model_6,S006,34.18,2.57,2024-06-07 00:50:12,2024-06-07 03:24:24,17,37,13.3
U01690,Model_5,S011,5.36,0.72,2024-09-07 00:50:12,2024-09-07 01:33:24,54,80,7.45
U03454,Model_10,S048,11.79,1.88,2024-12-03 00:50:12,2024-12-03 02:43:00,47,69,6.27
U03807,Model_15,S067,3.27,0.66,2023-12-31 00:50:12,2023-12-31 01:29:48,35,53,4.96
U00635,Model_7,S068,13.82,2.72,2024-06-29 00:50:12,2024-06-29 03:33:24,75,85,5.08
U00961,Model_18,S062,26.96,1.53,2024-04-28 00:50:12,2024-04-28 02:22:00,28,44,17.62
U04702,Model_5,S070,7.3,1.56,2024-02-19 00:50:12,2024-02-19 02:23:48,32,41,4.68
U01928,Model_14,S014,21.91,2.25,2024-07-15 00:50:12,2024-07-15 03:05:12,28,64,9.74
U02074,Model_6,S054,11.48,1.19,2023-12-27 00:50:12,2023-12-27 02:01:36,74,86,9.65
U00387,Model_16,S018,13.97,0.98,2024-10-03 00:50:12,2024-10-03 01:49:00,59,90,14.26
U04741,Model_8,S004,59.06,2.95,2024-04-07 00:50:12,2024-04-07 03:47:12,51,63,20.02
U03621,Model_16,S053,48.98,2.7,2024-05-23 00:50:12,2024-05-23 03:32:12,44,85,18.14
U04106,Model_7,S009,10.45,0.79,2024-07-12 00:50:12,2024-07-12 01:37:36,67,80,13.23
U01577,Model_7,S058,9.86,0.82,2024-05-13 00:50:12,2024-05-13 01:39:24,1,18,12.02
U01430,Model_17,S025,19.52,1.19,2024-04-08 00:50:12,2024-04-08 02:01:36,71,74,16.4
U02096,Model_11,S002,19.94,1.38,2024-10-11 00:50:12,2024-10-11 02:13:00,50,85,14.45
U03017,Model_2,S034,11.81,1.13,2024-09-14 00:50:12,2024-09-14 01:58:00,13,30,10.45
U02474,Model_8,S041,45.53,2.08,2024-03-27 00:50:12,2024-03-27 02:55:00,41,86,21.89
U03805,Model_14,S007,42.13,2.41,2024-10-10 00:50:12,2024-10-10 03:14:48,34,64,17.48
U01695,Model_11,S042,43.61,2.81,2024-09-06 00:50:12,2024-09-06 03:38:48,15,17,15.52
U00741,Model_2,S051,6.59,0.91,2024-07-14 00:50:12,2024-07-14 01:44:48,38,69,7.24
U02453,Model_4,S061,43.27,2.12,2024-08-14 00:50:12,2024-08-14 02:57:24,47,99,20.41
U01933,Model_14,S033,32.84,2.55,2024-10-09 00:50:12,2024-10-09 03:23:12,34,38,12.88
U00237,Model_12,S003,18.83,2.87,2024-07-06 00:50:12,2024-07-06 03:42:24,36,39,6.56
U02150,Model_18,S070,20.7,1.5,2024-06-11 00:50:12,2024-06-11 02:20:12,24,87,13.8
U00118,Model_7,S066,19.5,1.95,2024-11-26 00:50:12,2024-11-26 02:47:12,43,84,10.0
U03147,Model_2,S054,9.91,1.06,2024-08-06 00:50:12,2024-08-06 01:53:48,34,42,9.35
U02943,Model_7,S024,15.34,1.09,2024-08-27 00:50:12,2024-08-27 01:55:36,5,60,14.07
U04979,Model_1,S016,16.08,1.89,2024-04-16 00:50:12,2024-04-16 02:43:36,53,65,8.51
U01628,Model_5,S030,13.79,1.47,2024-09-14 00:50:12,2024-09-14 02:18:24,6,99,9.38
U01092,Model_13,S046,7.05,1.86,2024-01-16 00:50:12,2024-01-16 02:41:48,20,77,3.79
U04962,Model_6,S053,12.94,2.8,2024-06-29 00:50:12,2024-06-29 03:38:12,16,55,4.62
U00126,Model_17,S029,54.71,2.67,2024-02-29 00:50:12,2024-02-29 03:30:24,51,99,20.49
U02621,Model_13,S005,13.57,1.93,2024-09-07 00:50:12,2024-09-07 02:46:00,70,100,7.03
U03676,Model_1,S022,25.86,2.87,2024-03-03 00:50:12,2024-03-03 03:42:24,71,100,9.01
U01241,Model_14,S017,12.49,1.34,2024-08-04 00:50:12,2024-08-04 02:10:36,17,48,9.32
U00590,Model_7,S023,7.31,0.95,2024-11-08 00:50:12,2024-11-08 01:47:12,78,96,7.7
U03577,Model_7,S041,10.69,0.75,2024-11-15 00:50:12,2024-11-15 01:35:12,46,64,14.25
U03335,Model_3,S016,33.51,1.79,2024-07-04 00:50:12,2024-07-04 02:37:36,60,77,18.72
U01519,Model_14,S003,42.06,2.16,2024-09-05 00:50:12,2024-09-05 02:59:48,3,85,19.47
U01184,Model_8,S028,12.64,0.8,2024-01-23 00:50:12,2024-01-23 01:38:12,15,67,15.8
U04226,Model_16,S059,6.15,0.54,2024-11-07 00:50:12,2024-11-07 01:22:36,80,82,11.38
U04884,Model_15,S029,24.39,1.65,2024-08-16 00:50:12,2024-08-16 02:29:12,13,30,14.78
U02006,Model_10,S016,36.12,1.71,2023-12-18 00:50:12,2023-12-18 02:32:48,4,82,21.12
U00272,Model_19,S037,28.45,2.48,2024-04-23 00:50:12,2024-04-23 03:19:00,54,59,11.47
U02615,Model_13,S014,4.76,1.34,2024-07-03 00:50:12,2024-07-03 02:10:36,6,95,3.55
U02944,Model_18,S005,7.19,0.89,2024-04-15 00:50:12,2024-04-15 01:43:36,78,80,8.08
U00100,Model_19,S058,17.08,2.87,2024-05-13 00:50:12,2024-05-13 03:42:24,13,66,5.95
U01847,Model_11,S065,10.41,2.41,2024-12-15 00:50:12,2024-12-15 03:14:48,70,99,4.32
U00695,Model_7,S036,14.9,1.48,2024-11-10 00:50:12,2024-11-10 02:19:00,9,11,10.07
U01511,Model_16,S034,14.09,1.02,2024-04-05 00:50:12,2024-04-05 01:51:24,78,98,13.81
U02466,Model_15,S069,16.04,0.83,2024-03-28 00:50:12,2024-03-28 01:40:00,23,64,19.33
U03177,Model_8,S001,3.45,0.79,2024-05-26 00:50:12,2024-05-26 01:37:36,64,98,4.37
U02200,Model_18,S065,44.09,2.54,2024-04-28 00:50:12,2024-04-28 03:22:36,36,78,17.36
U02831,Model_15,S036,13.56,2.07,2024-12-09 00:50:12,2024-12-09 02:54:24,19,70,6.55
U04510,Model_8,S018,15.32,2.07,2024-10-24 00:50:12,2024-10-24 02:54:24,56,75,7.4
U00181,Model_8,S021,12.92,0.88,2024-08-18 00:50:12,2024-08-18 01:43:00,66,100,14.68
U03442,Model_14,S032,21.79,1.1,2024-01-03 00:50:12,2024-01-03 01:56:12,25,49,19.81
U00664,Model_11,S064,41.03,2.1,2024-10-14 00:50:12,2024-10-14 02:56:12,51,79,19.54
U00149,Model_9,S027,12.17,0.58,2024-03-24 00:50:12,2024-03-24 01:25:00,14,68,20.99
U00253,Model_4,S067,18.91,2.91,2024-05-18 00:50:12,2024-05-18 03:44:48,8,32,6.5
U04851,Model_18,S044,32.78,2.47,2024-02-05 00:50:12,2024-02-05 03:18:24,29,99,13.27
U03716,Model_6,S030,28.9,2.5,2024-10-27 00:50:12,2024-10-27 03:20:12,43,100,11.56
U00610,Model_17,S036,18.77,0.99,2024-12-05 00:50:12,2024-12-05 01:49:36,42,45,18.96
U00498,Model_4,S036,14.62,2.44,2024-07-30 00:50:12,2024-07-30 03:16:36,47,68,5.99
U00830,Model_17,S065,10.53,0.65,2024-09-08 00:50:12,2024-09-08 01:29:12,1,18,16.2
U04946,Model_20,S024,16.77,1.19,2024-07-27 00:50:12,2024-07-27 02:01:36,61,97,14.09
U00979,Model_13,S060,16.96,1.88,2024-08-19 00:50:12,2024-08-19 02:43:00,25,66,9.02
U04215,Model_1,S039,7.26,2.04,2024-10-20 00:50:12,2024-10-20 02:52:36,69,84,3.56
U00816,Model_4,S062,47.61,2.87,2024-11-15 00:50:12,2024-11-15 03:42:24,44,51,16.59
U03717,Model_12,S054,15.58,2.08,2024-01-15 00:50:12,2024-01-15 02:55:00,7,9,7.49
U04846,Model_8,S066,41.78,2.33,2024-01-05 00:50:12,2024-01-05 03:10:00,53,92,17.93
U01027,Model_14,S067,40.12,1.93,2024-05-23 00:50:12,2024-05-23 02:46:00,74,81,20.79
U04687,Model_7,S070,42.8,2.77,2024-02-14 00:50:12,2024-02-14 03:36:24,79,93,15.45
U02044,Model_2,S049,13.19,1.8,2024-01-02 00:50:12,2024-01-02 02:38:12,22,92,7.33
U02544,Model_10,S047,53.15,2.87,2024-12-08 00:50:12,2024-12-08 03:42:24,4,24,18.52
U02719,Model_14,S065,7.46,0.7,2024-03-14 00:50:12,2024-03-14 01:32:12,15,84,10.65
U03065,Model_15,S021,14.06,0.8,2024-06-20 00:50:12,2024-06-20 01:38:12,54,94,17.58
U02355,Model_5,S057,30.28,1.66,2024-06-13 00:50:12,2024-06-13 02:29:48,37,50,18.24
U01557,Model_18,S070,39.86,2.36,2024-02-28 00:50:12,2024-02-28 03:11:48,43,98,16.89
U00626,Model_7,S021,37.4,2.75,2024-10-28 00:50:12,2024-10-28 03:35:12,14,59,13.6
U02549,Model_13,S030,43.24,2.6,2024-08-20 00:50:12,2024-08-20 03:26:12,53,95,16.63
U04489,Model_2,S068,10.62,0.98,2024-03-10 00:50:12,2024-03-10 01:49:00,22,98,10.84
U03698,Model_6,S002,26.44,1.92,2024-02-02 00:50:12,2024-02-02 02:45:24,27,88,13.77
U04136,Model_9,S062,25.01,1.38,2024-11-07 00:50:12,2024-11-07 02:13:00,35,73,18.12
U02629,Model_5,S018,27.06,1.68,2024-07-15 00:50:12,2024-07-15 02:31:00,66,100,16.11
U04475,Model_13,S032,10.39,0.64,2024-05-19 00:50:12,2024-05-19 01:28:36,44,56,16.23
U03042,Model_19,S052,11.27,0.86,2024-11-22 00:50:12,2024-11-22 01:41:48,52,68,13.11
U02743,Model_18,S038,40.62,2.5,2024-10-21 00:50:12,2024-10-21 03:20:12,67,85,16.25
U03819,Model_5,S062,30.12,1.7,2024-10-23 00:50:12,2024-10-23 02:32:12,53,96,17.72
U03969,Model_5,S067,54.05,2.96,2024-05-14 00:50:12,2024-05-14 03:47:48,54,55,18.26
U00036,Model_1,S019,18.38,1.03,2024-06-02 00:50:12,2024-06-02 01:52:00,5,55,17.84
U01302,Model_5,S018,5.76,0.51,2024-11-09 00:50:12,2024-11-09 01:20:48,73,79,11.3
U01597,Model_14,S019,27.13,2.11,2024-10-09 00:50:12,2024-10-09 02:56:48,5,96,12.86
U00583,Model_8,S038,43.03,2.49,2024-08-08 00:50:12,2024-08-08 03:19:36,34,52,17.28
U00717,Model_3,S020,15.9,1.24,2024-08-19 00:50:12,2024-08-19 02:04:36,30,73,12.82
U02631,Model_1,S002,17.27,2.27,2024-07-28 00:50:12,2024-07-28 03:06:24,12,61,7.61
U01978,Model_19,S025,22.19,2.73,2024-10-08 00:50:12,2024-10-08 03:34:00,79,82,8.13
U04130,Model_7,S052,31.49,1.63,2024-10-24 00:50:12,2024-10-24 02:28:00,15,51,19.32
U04063,Model_14,S061,43.49,2.42,2024-11-04 00:50:12,2024-11-04 03:15:24,79,83,17.97
